N.S. Engineering & Geo-Technical Services Pvt. Ltd. ,,,,,,,,,,,,,,,,,
"Dhobighat, Lalitpur, Nepal",,,,,,,,,,,,,,,,,
Vat No. 603565542,,,,,,,,,,,,,,,,,
"Equipments, Macine & Jinsi Purchase :-                                     ",,,,,,,,,,,,,,,,,
S. No.,Date,Department,Bill No.,Pan No.,Description,Parti's Name,Quantity,Unit, Rate , Taxable Amount , Vat 13% , Amount with Vat , Year in Use  ,Depreciation in %, Depreciation , Depreciated Value , Remarks 
118,2077.09.07,Rock,225,606906850,"Aimil Spares Cutting Blade -16"" For Cutting AIM-202-2",Asian Techno Traders Pvt. Ltd.,10,Nos," 12,437.00 "," 124,370.00 "," 16,168.10 "," 140,538.10 ",,, -   ," 140,538.10 ",
119,2077.10.25,Chemical,153,300048584,Al. coutainer 3x4,Sako Engineering & Technical Trading Pvt. Ltd.,24,Pcs, 272.00 ," 6,528.00 ", 848.64 ," 7,376.64 ",,, -   ," 7,376.64 ",
120,2077.10.25,Chemical,153,300048584,Measuring Cylinder -1000 ml,Sako Engineering & Technical Trading Pvt. Ltd.,1,Pcs," 1,591.00 "," 1,591.00 ", 206.83 ," 1,797.83 ",,, -   ," 1,797.83 ",
121,2077.10.25,Chemical,153,300048584,Vol. Flask Amber  1000 ml,Sako Engineering & Technical Trading Pvt. Ltd.,7,Pcs," 1,520.00 "," 10,640.00 "," 1,383.20 "," 12,023.20 ",,, -   ," 12,023.20 ",
122,2077.10.25,Chemical,153,300048584,Vol. Flask  1000 ml,Sako Engineering & Technical Trading Pvt. Ltd.,3,Pcs," 1,008.00 "," 3,024.00 ", 393.12 ," 3,417.12 ",,, -   ," 3,417.12 ",
123,2077.12.16,Cement and Concrete,197,304728327,Mixture Machine,Ram Hardware and Machinery Suppliers,1,Nos," 31,000.00 "," 31,000.00 ", Free ," 31,000.00 ",,, -   ," 31,000.00 ",
124,2077.12.20,Rock,470,603440805,Hormany 46  (20 Ltr.),Kushum Enterprises Pvt. Ltd,5,Pail," 6,576.76 "," 32,883.80 "," 4,274.89 "," 37,158.69 ",,, -   ," 37,158.69 ",
125,2078.03.23,Rebar Section,547,606906850,Aimil Universal Testing Machine Computarized Capacity 1000 KN With Hydraulic Jaws,Asian Techno Traders Pvt. Ltd.,1,Set," 2,199,158.00 "," 2,199,158.00 "," 285,890.54 "," 2,485,048.54 ",,, -   ," 2,485,048.54 ",
126,2078.03.23,Rebar Section,547,606906850,"Aimil Shear Test Attachment 6,8,12,16 & 20 mm Dia",Asian Techno Traders Pvt. Ltd.,1,Nos," 46,300.00 "," 46,300.00 "," 6,019.00 "," 52,319.00 ",,, -   ," 52,319.00 ",
127,2078.03.23,Rebar Section,547,606906850,"Aimil Shear Test Attachment 25, 30, 35 & 40 mm Dia",Asian Techno Traders Pvt. Ltd.,1,Nos," 64,300.00 "," 64,300.00 "," 8,359.00 "," 72,659.00 ",,, -   ," 72,659.00 ",
128,2078.03.23,Rebar Section,547,606906850,Aimil Bend Re-Bend Test Attachment,Asian Techno Traders Pvt. Ltd.,1,Nos," 117,542.00 "," 117,542.00 "," 15,280.46 "," 132,822.46 ",,, -   ," 132,822.46 ",
129,2078.03.23,Rebar Section,547,606906850,Aimil 8 R Mandrill,Asian Techno Traders Pvt. Ltd.,1,Nos," 7,107.00 "," 7,107.00 ", 923.91 ," 8,030.91 ",,, -   ," 8,030.91 ",
130,2078.03.23,Rebar Section,547,606906850,Aimil 9 R Mandrill,Asian Techno Traders Pvt. Ltd.,1,Nos," 7,107.00 "," 7,107.00 ", 923.91 ," 8,030.91 ",,, -   ," 8,030.91 ",
131,2078.03.23,Rebar Section,547,606906850,Aimil 10 R Mandrill,Asian Techno Traders Pvt. Ltd.,1,Nos," 7,107.00 "," 7,107.00 ", 923.91 ," 8,030.91 ",,, -   ," 8,030.91 ",
132,2078.03.23,Rebar Section,547,606906850,Aimil 12 R Mandrill,Asian Techno Traders Pvt. Ltd.,1,Nos," 7,107.00 "," 7,107.00 ", 923.91 ," 8,030.91 ",,, -   ," 8,030.91 ",
133,2078.03.23,Rebar Section,547,606906850,Aimil 15 R Mandrill,Asian Techno Traders Pvt. Ltd.,1,Nos," 7,107.00 "," 7,107.00 ", 923.91 ," 8,030.91 ",,, -   ," 8,030.91 ",
134,2078.03.23,Rebar Section,547,606906850,Aimil 18 R Mandrill,Asian Techno Traders Pvt. Ltd.,1,Nos," 7,107.00 "," 7,107.00 ", 923.91 ," 8,030.91 ",,, -   ," 8,030.91 ",
135,2078.03.23,Rebar Section,547,606906850,Aimil 20 R Mandrill,Asian Techno Traders Pvt. Ltd.,1,Nos," 7,107.00 "," 7,107.00 ", 923.91 ," 8,030.91 ",,, -   ," 8,030.91 ",
136,2078.03.23,Rebar Section,547,606906850,Aimil Extensometer 2.5/50 mm For UTM-New Model,Asian Techno Traders Pvt. Ltd.,1,Nos," 175,020.00 "," 175,020.00 "," 22,752.60 "," 197,772.60 ",,, -   ," 197,772.60 ",
137,2078.03.23,Rebar Section,547,606906850,Aimil Electronic Extensometer For Stand Wire 0-600 mm New Gauge Length,Asian Techno Traders Pvt. Ltd.,1,Nos," 251,815.00 "," 251,815.00 "," 32,735.95 "," 284,550.95 ",,, -   ," 284,550.95 ",
138,2078.03.31,Soil and Aggregate,582,606906850,Brass Sieves Size 200 MM Dia 0.75 Micron,Asian Techno Traders Pvt. Ltd.,5,Nos," 1,800.00 "," 9,000.00 "," 1,170.00 "," 10,170.00 ",,, -   ," 10,170.00 ",
139,2078.04.22,Electrical and Electronics,12,601283891,USG Boral Standard Board 1220 x 1830 x 12.5 mm,Super Enterprises,17,Nos, 545.00 ," 9,265.00 "," 1,204.45 "," 10,469.45 ",,100," 10,469.45 ", -   ,
140,2078.05.16,Electrical and Electronics,10,304205996,Door Lock With Magnate,Emax Technology Pvt. Ltd.,1,Set," 22,000.00 "," 22,000.00 "," 2,860.00 "," 24,860.00 ",,, -   ," 24,860.00 ",
141,2078.05.16,Electrical and Electronics,10,304205996,Lenovo F510 2 TB Portable Hard Drive,Emax Technology Pvt. Ltd.,1,Pic," 11,061.00 "," 11,061.00 "," 1,437.93 "," 12,498.93 ",,, -   ," 12,498.93 ",
142,2078.05.20,Furniture,27,300074404,Pillow,New Griha Shova Bhandar,2,Pic, 350.00 , 700.00 , 91.00 , 791.00 ,,, -   , 791.00 ,
143,2078.05.20,Furniture,27,300074404,Bed Sheet,New Griha Shova Bhandar,1,Pic," 1,000.00 "," 1,000.00 ", 130.00 ," 1,130.00 ",,, -   ," 1,130.00 ",
144,2078.05.20,Furniture,27,300074404,Quilt,New Griha Shova Bhandar,1,Pic," 2,200.00 "," 2,200.00 ", 286.00 ," 2,486.00 ",,, -   ," 2,486.00 ",
145,2078.05.21,Furniture,11,600028635,Foom Matress,Dream Furniture,1,Set," 22,366.37 "," 22,366.37 "," 2,907.63 "," 25,274.00 ",,, -   ," 25,274.00 ",
146,2078.05.21,Furniture,11,600028635,Bed ,Dream Furniture,1,Set," 19,700.00 "," 19,700.00 "," 2,561.00 "," 22,261.00 ",,, -   ," 22,261.00 ",
147,2078.05.21,Furniture,11,600028635,Side Table,Dream Furniture,1,Nos," 2,100.00 "," 2,100.00 ", 273.00 ," 2,373.00 ",,, -   ," 2,373.00 ",
148,2078.05.21,Furniture,11,600028635,Stool,Dream Furniture,6,Nos, 600.00 ," 3,600.00 ", 468.00 ," 4,068.00 ",,, -   ," 4,068.00 ",
149,2078.05.27,Electrical and Electronics,16,304205996,Brother DCP-420W,Emax Technology Pvt. Ltd.,1,Set," 30,088.49 "," 30,088.49 "," 3,911.50 "," 33,999.99 ",,, -   ," 33,999.99 ",
150,2078.05.28,Cement and Concrete,79,603792937,Water Bath Thermostatically Control 50 Ltr. Capacity,Saurya & Saurabi Enterprises,1,Set," 55,000.00 "," 55,000.00 "," 7,150.00 "," 62,150.00 ",,, -   ," 62,150.00 ",
151,2078.06.01,Safety,54,604223818,4 Kg Fire Extinguisher,E.Coil Pvt. Ltd.,1,Pcs," 3,000.00 "," 3,000.00 ", 390.00 ," 3,390.00 ",,, -   ," 3,390.00 ",
152,2078.06.01,Safety,54,604223818,SP MCB 16 AMP,E.Coil Pvt. Ltd.,1,Pcs, 282.00 , 282.00 , 36.66 , 318.66 ,,, -   , 318.66 ,
153,2078.06.01,Safety,54,604223818,SP MCB 6 AMP,E.Coil Pvt. Ltd.,1,Pcs, 282.00 , 282.00 , 36.66 , 318.66 ,,, -   , 318.66 ,
154,2078.06.13,Soil and Aggregate,249,600386964,"Electronic Weighing Scale, Capacity -6Kg, SN: 0.19, Model: XRh, SN: S21030126",A & D International Weighing Trading ,1,Nos," 12,831.85 "," 12,831.85 "," 1,668.14 "," 14,499.99 ",,, -   ," 14,499.99 ",
155,2078.06.24,Cement and Concrete ,418,300054392,Air Permeability Blains Apparatus Aim-390 ,H. G. Ent. Pvt. Ltd.,1,Nos," 9,500.00 "," 9,500.00 "," 1,235.00 "," 10,735.00 ",,, -   ," 10,735.00 ",
156,2078.06.25,Cement and Concrete,420,300054392,Vibratory Table AIM-365-1,H. G. Ent. Pvt. Ltd.,1,Nos," 172,000.00 "," 172,000.00 "," 22,360.00 "," 194,360.00 ",,, -   ," 194,360.00 ",
157,2078.06.25,Cement and Concrete,420,300054392,Cube Mould 15 CM -AIM 344,H. G. Ent. Pvt. Ltd.,12,Nos," 6,600.00 "," 79,200.00 "," 10,296.00 "," 89,496.00 ",,, -   ," 89,496.00 ",
158,2078.06.25,Cement and Concrete,420,300054392,Le Chatelier Mould AIM-400,H. G. Ent. Pvt. Ltd.,6,Nos," 1,280.00 "," 7,680.00 ", 998.40 ," 8,678.40 ",,, -   ," 8,678.40 ",
159,2078.06.25,Cement and Concrete,117,603792937,Curing Tank With Tempreture Controlled System,Saurya & Saurabi Enterprises,1,Set," 120,000.00 "," 120,000.00 "," 15,600.00 "," 135,600.00 ",,, -   ," 135,600.00 ",
160,2078.07.04,Cement and Concrete,21,616339448,Mortar Vibrator,Raluka Devi Trade Concern,1,Set," 65,000.00 "," 65,000.00 "," 8,450.00 "," 73,450.00 ",,, -   ," 73,450.00 ",
161,2078.07.04,Soil and Aggregate,119,603792937,Los Angeles abration Testing Machine (LAA),Saurya & Saurabi Enterprises,1,Set," 145,000.00 "," 145,000.00 "," 18,850.00 "," 163,850.00 ",,, -   ," 163,850.00 ",
162,2078.07.05,Rock,120,603792937,Density Basket,Saurya & Saurabi Enterprises,1,Nos," 2,450.00 "," 2,450.00 ", 318.50 ," 2,768.50 ",,, -   ," 2,768.50 ",
163,2078.07.07,Cement and Concrete,121,603792937,Tamping Rod,Saurya & Saurabi Enterprises,1,Pcs, 950.00 , 950.00 , 123.50 ," 1,073.50 ",,, -   ," 1,073.50 ",
164,2078.07.07,Cement and Concrete,121,603792937,Gauging Trawel,Saurya & Saurabi Enterprises,2,Pcs, 950.00 ," 1,900.00 ", 247.00 ," 2,147.00 ",,, -   ," 2,147.00 ",
165,2078.07.10,Pile Test,,606906850,PIT Accelerometer (53A) -Top Mount -6 Pin,Asian Techno Traders Pvt. Ltd.,2,Pcs," 79,560.00 "," 159,120.00 "," 20,685.60 "," 179,805.60 ",,, -   ," 179,805.60 ",
166,2078.07.10,Pile Test,,606906850,"PIT -QV Starter System Pile Integrity Tester, Shoulder Strap PIT-Q & AC Power Cord for Battery Charger Software Installation USB Drive, PIT Acceserometer wax-50G, Transit case for PIT-Q With FoamInserts FFT Software, PIT-W",Asian Techno Traders Pvt. Ltd.,1,Pcs," 811,340.00 "," 811,340.00 "," 105,474.20 "," 916,814.20 ",,, -   ," 916,814.20 ",
167,2078.07.10,Pile Test,,606906850,"PIT Hammer Non -Instrumented -1 1/2"" -1 LB (500G)",Asian Techno Traders Pvt. Ltd.,1,Pcs," 40,100.00 "," 40,100.00 "," 5,213.00 "," 45,313.00 ",,, -   ," 45,313.00 ",
168,2078.07.10,Pile Test,,606906850,"PIT Hammer Non -Instrumented -2"" -3 LB (1400G)",Asian Techno Traders Pvt. Ltd.,1,Pcs," 40,100.00 "," 40,100.00 "," 5,213.00 "," 45,313.00 ",,, -   ," 45,313.00 ",
169,2078.07.10,Pile Test,,606906850,"PIT Hammer Non -Instrumented -3"" -8 LB (3600G)",Asian Techno Traders Pvt. Ltd.,1,Pcs," 72,443.00 "," 72,443.00 "," 9,417.59 "," 81,860.59 ",,, -   ," 81,860.59 ",
170,2078.07.11,Furniture,57,302604616,"66"" Steel Daraj",Shubham Steel Furniture,1,Pcs," 7,300.00 "," 7,300.00 ", 949.00 ," 8,249.00 ",,, -   ," 8,249.00 ",
171,2078.07.14,Electrical and Electronics,100,610712069,Brother T220 Printer,N.B.D. Suppliers,1,Pcs," 19,000.00 "," 19,000.00 "," 2,470.00 "," 21,470.00 ",,, -   ," 21,470.00 ",
172,2078.07.14,Electrical and Electronics,100,610712069,Key Board,N.B.D. Suppliers,10,Pcs, 130.00 ," 1,300.00 ", 169.00 ," 1,469.00 ",,, -   ," 1,469.00 ",
173,2078.07.14,Electrical and Electronics,100,610712069,6 Kg ABC Type Flex T Complete,N.B.D. Suppliers,1,Pcs," 2,250.00 "," 2,250.00 ", 292.50 ," 2,542.50 ",,, -   ," 2,542.50 ",
174,2078.07.15,Pile Test,428,300034363,MS Joist -18 Pcs,Steel Wood,4970,kg, 102.00 ," 506,940.00 "," 65,902.20 "," 572,842.20 ",,, -   ," 572,842.20 ",
175,2078.07.15,Pile Test,428,300034363,MS Channel -2 Pcs,Steel Wood,40,kg, 99.00 ," 3,960.00 ", 514.80 ," 4,474.80 ",,, -   ," 4,474.80 ",
176,2078.07.21,Electrical and Electronics,25,301822275,"Media Brand Air-Conditionons, Capacity 1 Ton",Bijay Traders 7 Enterprises,1,Set," 43,363.00 "," 43,363.00 "," 5,637.19 "," 49,000.19 ",,, -   ," 49,000.19 ",
177,2078.07.21,Electrical and Electronics,25,301822275,Angle ,Bijay Traders 7 Enterprises,1,Set," 1,000.00 "," 1,000.00 ", 130.00 ," 1,130.00 ",,, -   ," 1,130.00 ",
178,2078.07.21,Electrical and Electronics,25,301822275,Fitting Charge,Bijay Traders 7 Enterprises,1,Job," 3,000.00 "," 3,000.00 ", 390.00 ," 3,390.00 ",,, -   ," 3,390.00 ",
179,2078.07.21,Chemical,1861,301875253,PH Meter ,Ashmita Surgical House,1,Set," 6,000.00 "," 6,000.00 ", 780.00 ," 6,780.00 ",,, -   ," 6,780.00 ",
180,2078.07.21,Chemical,1861,301875253,"PH Solution 10,4,7",Ashmita Surgical House,3,Pcs," 3,200.00 "," 9,600.00 "," 1,248.00 "," 10,848.00 ",,, -   ," 10,848.00 ",
181,2078.07.25,Geophysical and Survey,115,606906850,GEO-BC500 Borehole Camera Imaging TV Probe Type 40 Communication Cable Capacity : 500M Depth Push Pull Rod (80 Pcs*1.2M=96M) Other Necessary Accessories,Asian Techno Traders Pvt. Ltd.,1,Set," 1,930,000.00 "," 1,930,000.00 "," 250,900.00 "," 2,180,900.00 ",,, -   ," 2,180,900.00 ",
182,2078.07.25,Cement and Concrete,422,602453402,Air Compresser,J. B. Ent.P. Ltd.,1,Pcs," 13,500.00 "," 13,500.00 "," 1,755.00 "," 15,255.00 ",,, -   ," 15,255.00 ",
183,2078.07.25,Cement and Concrete,422,602453402,Cube Mould,J. B. Ent.P. Ltd.,12,Pcs," 2,500.00 "," 30,000.00 "," 3,900.00 "," 33,900.00 ",,, -   ," 33,900.00 ",
184,2078.07.25,Cement and Concrete,422,602453402,Compressor Gun,J. B. Ent.P. Ltd.,1,Pcs," 2,500.00 "," 2,500.00 ", 325.00 ," 2,825.00 ",,, -   ," 2,825.00 ",
185,2078.07.25,Cement and Concrete,422,602453402,Pipe,J. B. Ent.P. Ltd.,5,Mtr, 150.00 , 750.00 , 97.50 , 847.50 ,,, -   , 847.50 ,
186,2078.07.26,Soil and Aggregate,422,602453402,Balance Weight 100 Kg,J. B. Ent.P. Ltd.,1,Pcs," 13,200.00 "," 13,200.00 "," 1,716.00 "," 14,916.00 ",,, -   ," 14,916.00 ",
187,2078.07.30,Vehicle,72,606676614,"Bajaj Motarcycle, Model V.15, Reg No. 77.8555",Podar Auto Pvt. Ltd.,1,Nos," 104,424.77 "," 104,424.77 "," 13,575.22 "," 117,999.99 ",,, -   ," 117,999.99 ",
188,2078.08.12,Vehicle,2027,609910047,"Model Code:Aviator, Model Version No.: Aviator BSIV LED A3, ",Indrayani Meroauto Pvt. Ltd.,1,Nos," 193,274.34 "," 193,274.34 "," 25,125.66 "," 218,400.00 ",,, -   ," 218,400.00 ",
189,2078.08.15,,162,617198556,1000-20 SL 550 + MRF Set,Jay Bajaranga Traders & Suppliers,6,Set," 26,106.18 "," 156,637.08 "," 20,362.82 "," 176,999.90 ",,, -   ," 176,999.90 ",
190,2078.08.26,Cement and Concrete,52,300048584,Motar Mould 7.06 Cm,Sako Engineering & Technical Trading Pvt. Ltd.,3,Pcs," 1,425.00 "," 4,275.00 ", 555.75 ," 4,830.75 ",,, -   ," 4,830.75 ",
191,2078.08.29,Vehicle,3329,300045572,"Model Code: Mahindra  Bolero, Model Version: CPR DC 4 WD PS, VIN No: MA1RU4TBKM3J95457, Engine No.: TBM4H77871",Agni Incorporated Pvt. Ltd.,1,Nos," 2,663,716.81 "," 2,663,716.81 "," 346,283.19 "," 3,010,000.00 ",,, -   ," 3,010,000.00 ",
192,2078.09.07,,391,303402482,"R. Hammer, GBH 2-26 DRE 061129376F",Infratech Pvt. Ltd.,1,Pcs," 20,796.46 "," 20,796.46 "," 2,703.54 "," 23,500.00 ",,, -   ," 23,500.00 ",
193,2078.09.29,Vehicle,157,609193107,Bolero Seat Cover,Jay Mahalaxmi Auto Care Center,1,Set," 7,500.00 "," 7,500.00 ", 975.00 ," 8,475.00 ",,, -   ," 8,475.00 ",
194,2078.09.29,Vehicle,157,609193107,Bolero Head Rest,Jay Mahalaxmi Auto Care Center,1,Set," 3,500.00 "," 3,500.00 ", 455.00 ," 3,955.00 ",,, -   ," 3,955.00 ",
195,2078.09.29,Vehicle,157,609193107,Bolero Mate,Jay Mahalaxmi Auto Care Center,1,Set," 2,800.00 "," 2,800.00 ", 364.00 ," 3,164.00 ",,, -   ," 3,164.00 ",
196,2078.09.29,Vehicle,157,609193107,Bolero No. Plate,Jay Mahalaxmi Auto Care Center,2,Pcs, 250.00 , 500.00 , 65.00 , 565.00 ,,, -   , 565.00 ,
197,2078.09.29,Vehicle,157,609193107,Bolero Music System,Jay Mahalaxmi Auto Care Center,1,Set," 5,300.00 "," 5,300.00 ", 689.00 ," 5,989.00 ",,, -   ," 5,989.00 ",
198,2078.09.29,Vehicle,157,609193107,Bolero Spiker,Jay Mahalaxmi Auto Care Center,1,Set," 3,200.00 "," 3,200.00 ", 416.00 ," 3,616.00 ",,, -   ," 3,616.00 ",
199,2078.09.29,Vehicle,157,609193107,Bolero Horn Set,Jay Mahalaxmi Auto Care Center,1,Set," 1,750.00 "," 1,750.00 ", 227.50 ," 1,977.50 ",,, -   ," 1,977.50 ",
200,2078.09.29,Vehicle,157,609193107,Bolero Sticker,Jay Mahalaxmi Auto Care Center,1,Set," 4,000.00 "," 4,000.00 ", 520.00 ," 4,520.00 ",,, -   ," 4,520.00 ",
201,2078.09.29,Pile,885,301792514,"ARC Welding Machine, Model: YUVA-200",M.K. Machinery & Hardware,1,Nos," 15,044.25 "," 15,044.25 "," 1,955.75 "," 17,000.00 ",,, -   ," 17,000.00 ",
202,2078.09.30,Pile,199,606906850,Telescopic Ladder 4.4M,Asian Techno Traders Pvt. Ltd.,1,Nos," 14,000.00 "," 14,000.00 "," 1,820.00 "," 15,820.00 ",,, -   ," 15,820.00 ",
203,2078.09.30,Pile,350,609738575,10 Ft Steel Wire Rope With Toechain ,Raghupriya Trading Pvt. Ltd.,1,Nos," 3,400.00 "," 3,400.00 ", 442.00 ," 3,842.00 ",,, -   ," 3,842.00 ",
204,2078.09.30,Pile,350,609738575,8 Ft Steel Wire Rope With Toechain ,Raghupriya Trading Pvt. Ltd.,1,Nos," 2,800.00 "," 2,800.00 ", 364.00 ," 3,164.00 ",,, -   ," 3,164.00 ",
205,2078.09.30,Pile,350,609738575,3 Ft Steel Wire Rope With Toechain ,Raghupriya Trading Pvt. Ltd.,1,Nos," 1,600.00 "," 1,600.00 ", 208.00 ," 1,808.00 ",,, -   ," 1,808.00 ",
206,2078.09.30,Pile,350,609738575,2 Ft Steel Wire Rope With Toechain ,Raghupriya Trading Pvt. Ltd.,2,Nos," 1,400.00 "," 2,800.00 ", 364.00 ," 3,164.00 ",,, -   ," 3,164.00 ",
207,2078.10.05,Furniture,290,302418596,Visitor Chair,Varietie Traders,15,Pcs," 3,982.30 "," 59,734.50 "," 7,765.49 "," 67,499.99 ",,, -   ," 67,499.99 ",
208,2078.10.05,Rock,1018,500063578,Core Bit 83 mm,Shrisha Traders,1,Pcs," 7,000.00 "," 7,000.00 ", 910.00 ," 7,910.00 ",,, -   ," 7,910.00 ",
209,2078.10.13,Electrical and Electronics,1198,301638492,Hawells OFR 11 Fin Water,Ultimate Electronics,1,Pcs," 15,486.73 "," 15,486.73 "," 2,013.27 "," 17,500.00 ",,, -   ," 17,500.00 ",
210,2078.10.16,Soil and Aggregate,359,603792937,18 x 18 Hot Air Oven,Saurya and Saurabi Enterprises,1,Nos," 27,000.00 "," 27,000.00 "," 3,510.00 "," 30,510.00 ",,, -   ," 30,510.00 ",
211,2078.10.17,Pile ,395,609738575,Steel Wire Toechain 16mm -2 feet,Raghupriya Trading Pvt. Ltd.,60,Nos," 1,330.00 "," 79,800.00 "," 10,374.00 "," 90,174.00 ",,, -   ," 90,174.00 ",
212,2078.10.18,Electrical and Electronics,57,304205996,4 TB Portable Hard Drive,Emax Technology Pvt. Ltd.,1,No," 15,930.00 "," 15,930.00 "," 2,070.90 "," 18,000.90 ",,, -   ," 18,000.90 ",
213,2078.10.20,Soil and Aggregate,368,603792937,Pocket Soil Penetrometer,Saurya and Saurabi Enterprises,1,No, 700.00 , 700.00 , 91.00 , 791.00 ,,100, 791.00 , -   ,Fully Damaged
214,2078.10.21,Pile ,226,606906850,PDA (DLT) Starter System W/Acessories S/N 2007LH,Asian Techno Traders Pvt. Ltd.,1,Set," 6,261,945.62 "," 6,261,945.62 "," 814,052.93 "," 7,075,998.55 ",,, -   ," 7,075,998.55 ",
215,2078.10.24,Soil and Aggregate,232,606906850,Brass Sieve 200 mm dia 0.075 MM,Asian Techno Traders Pvt. Ltd.,1,Pcs," 1,290.00 "," 1,290.00 ", 167.70 ," 1,457.70 ",,, -   ," 1,457.70 ",
216,2078.10.24,Soil and Aggregate,232,606906850,Brass Sieve 200 mm dia Size 425 Mics,Asian Techno Traders Pvt. Ltd.,1,Pcs," 1,290.00 "," 1,290.00 ", 167.70 ," 1,457.70 ",,, -   ," 1,457.70 ",
217,2078.11.01,Rebar Section,400,603792937,Vernieal Caliper M1 (Analog),Saurya and Saurabi Enterprises,1,No," 4,400.00 "," 4,400.00 ", 572.00 ," 4,972.00 ",,, -   ," 4,972.00 ",
218,2078.11.27,Rock,272,606906850,Core Cutter Test Apparatus,Asian Techno Traders Pvt. Ltd.,1,Set," 7,200.00 "," 7,200.00 ", 936.00 ," 8,136.00 ",,, -   ," 8,136.00 ",
219,2078.12.04,Cement and Concrete,100,302494501,Concrete Mixture Pan type (AIM 9891) Capacity 40 Ltr.,Akara Material Testing Laboratory Pvt. Ltd.,1,No.," 290,000.00 "," 290,000.00 "," 37,700.00 "," 327,700.00 ",,, -   ," 327,700.00 ",
220,2078.12.07,Rebar Section,360,302498127,Re-bar Cutting Machine,New Gautam Machinery Traders,1,Pcs," 13,300.00 "," 13,300.00 "," 1,729.00 "," 15,029.00 ",,, -   ," 15,029.00 ",
221,2078.12.11,Pile,292,,PIT-W 2009 Initial Professional License -Download,Asian Techno Traders Pvt. Ltd.,1,Pcs," 439,825.00 "," 439,825.00 "," 57,177.25 "," 497,002.25 ",,, -   ," 497,002.25 ",
222,2078.12.17,Rock,1168,600865201,Grander Machine,Chiranjibi Hardware & Suppliers,1,Pcs," 3,100.00 "," 3,100.00 ", 403.00 ," 3,503.00 ",,, -   ," 3,503.00 ",
223,2078.12.17,Rock,1168,600865201,Diamond Cup Wheel,Chiranjibi Hardware & Suppliers,6,Pcs, 485.00 ," 2,910.00 ", 378.30 ," 3,288.30 ",,, -   ," 3,288.30 ",
224,2078.12.28,Electrical and Electronics,8310,606895822,Contactor LC1D12 TC/MG,Machinery and Electric Pvt. Ltd.,1,Pcs," 2,832.00 "," 2,832.00 ", 368.16 ," 3,200.16 ",,, -   ," 3,200.16 ",
225,2078.12.28,Soil and Aggregate,311,606906850,Dial Gauge 15 MM Travel 0.01 MM Least Count,Asian Techno Traders Pvt. Ltd.,1,Pcs," 3,600.00 "," 3,600.00 ", 468.00 ," 4,068.00 ",,, -   ," 4,068.00 ",
226,2079.02.16,Soil and Aggregate,125,300048584,Brass Sieve 20 Cm dia 75 micron,Sako Engineering & Technical Trading Pvt. Ltd.,5,Pcs," 1,668.00 "," 8,340.00 "," 1,084.20 "," 9,424.20 ",,, -   ," 9,424.20 ",
227,2079.03.27,Cement and Concrete,736,603792937,Lee Chaterial Flask,Saurya and Saurabi Enterprises,1,Set," 2,250.00 "," 2,250.00 ", 292.50 ," 2,542.50 ",,, -   ," 2,542.50 ",
228,2079.03.27,Cement and Concrete,736,603792937,Plastic Funnel,Saurya and Saurabi Enterprises,1,Nos, 250.00 , 250.00 , 32.50 , 282.50 ,,, -   , 282.50 ,
229,2078.03.31,Soil and Aggregate,582,606906850,Brass Sieves Size 200 mm Dia 0.75 Micron,Asian Techno Traders Pvt. Ltd.,5,Pcs," 1,800.00 "," 9,000.00 "," 1,170.00 "," 10,170.00 ",,, -   ," 10,170.00 ",
230,2079.03.31,Electrical and Electronics,90,303010397,"Dell Desktop Computer -i5  Vostro 3888 int  i5 10th generation SSd 512 GB home Ram 8GB 24"" Dell Monitor Window 10 Pro ",Metropolitan Trade Concern,1,Nos," 83,185.84 "," 83,185.84 "," 10,814.16 "," 94,000.00 ",,, -   ," 94,000.00 ",
231,2079.04.14,Pile,,615727763,Pully Made from Iron Materials (Metal),Mahesh Workshop,1,Nos," 30,088.30 "," 30,088.30 "," 3,911.48 "," 33,999.78 ",,, -   ," 33,999.78 ",
232,2079.04.17,Software,146,300140406,Saral Billing Nepal V.9.0 Single User Standred Version,CNC Pvt Ltd,1,Nos," 32,000.00 "," 32,000.00 "," 4,160.00 "," 36,160.00 ",,, -   ," 36,160.00 ",
233,2079.04.23,Chemical,13,606906850,"Weighing Balance CY323C CAP : 320G, ACC: 0.001G, CAL: EXTERNAL",Asian Techno Traders Pvt. Ltd.,1,Nos," 54,840.00 "," 54,840.00 "," 7,129.20 "," 61,969.20 ",,, -   ," 61,969.20 ",
234,2079.05.05,Pile,,615727763,Formwork frame (1200 mm dia),Mahesh Workshop,1,Nos," 4,950.00 "," 4,950.00 ", 643.50 ," 5,593.50 ",,100," 5,593.50 ", -   ,Fully Damaged
235,2079.05.06,Rebar Section,65,606906850,AIMIL Clamping Jaws  For Round Specimen 06-14mm for AIM-653-2 ,Asian Techno Traders Pvt. Ltd.,2,Nos," 57,216.00 "," 114,432.00 "," 14,876.16 "," 129,308.16 ",,, -   ," 129,308.16 ",
236,2079.05.06,Rebar Section,65,606906850,AIMIL Clamping Jaws  For Round Specimen 14-32mm for AIM-653-2 ,Asian Techno Traders Pvt. Ltd.,2,Nos," 60,750.00 "," 121,500.00 "," 15,795.00 "," 137,295.00 ",,, -   ," 137,295.00 ",
